AC_No,AC_Name,Winner_Party_2026_FullName,Alliance,Winner_ShortCode_2026,AC_Name_2021,Winner_Party_2021,Winner_Votes_2021,Winner_ShortCode_2021,Seat_Flipped
171,KUMBAKONAM,Tamilaga Vettri Kazhagam,Solo,TVK,Kumbakonam,DMK,96057.0,DMK,True
172,PAPANASAM,Indian Union Muslim League,INDIA/SPA,IUML,Papanasam,DMK,86567.0,DMK,True
173,THIRUVAIYARU,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Thiruvaiyaru,DMK,103210.0,DMK,False
174,THANJAVUR,Tamilaga Vettri Kazhagam,Solo,TVK,Thanjavur,DMK,103772.0,DMK,True
175,ORATHANADU,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Orathanadu,ADMK,90063.0,AIADMK,True
176,PATTUKKOTTAI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Pattukkottai,DMK,79065.0,DMK,False
177,PERAVURANI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Peravurani,DMK,89130.0,DMK,False
178,GANDHARVAKOTTAI,Tamilaga Vettri Kazhagam,Solo,TVK,Gandarvakkottai,CPI(M),69710.0,CPI(M),True
179,VIRALIMALAI,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Viralimalai,ADMK,102179.0,AIADMK,False
180,PUDUKKOTTAI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Pudukkottai,DMK,85802.0,DMK,False
181,THIRUMAYAM,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Thirumayam,DMK,71349.0,DMK,False
182,ALANGUDI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Alangudi,DMK,87935.0,DMK,False
183,ARANTHANGI,Tamilaga Vettri Kazhagam,Solo,TVK,Aranthangi,INC,81835.0,INC,True
184,KARAIKUDI,Tamilaga Vettri Kazhagam,Solo,TVK,Karaikudi,INC,75954.0,INC,True
185,TIRUPPATTUR,Tamilaga Vettri Kazhagam,Solo,TVK,Tiruppattur,DMK,103682.0,DMK,True
186,SIVAGANGA,Tamilaga Vettri Kazhagam,Solo,TVK,Sivaganga,ADMK,82153.0,AIADMK,True
187,MANAMADURAI,Tamilaga Vettri Kazhagam,Solo,TVK,Manamadurai,DMK,89364.0,DMK,True
188,MELUR,Indian National Congress,INDIA/SPA,INC,Melur,ADMK,83344.0,AIADMK,True
189,MADURAI EAST,Tamilaga Vettri Kazhagam,Solo,TVK,Madurai East,DMK,122729.0,DMK,True
190,SHOLAVANDAN,Tamilaga Vettri Kazhagam,Solo,TVK,Sholavandan,DMK,84240.0,DMK,True
191,MADURAI NORTH,Tamilaga Vettri Kazhagam,Solo,TVK,Madurai North,DMK,73010.0,DMK,True
192,MADURAI SOUTH,Tamilaga Vettri Kazhagam,Solo,TVK,Madurai South,DMK,62812.0,DMK,True
193,MADURAI CENTRAL,Tamilaga Vettri Kazhagam,Solo,TVK,Madurai Central,DMK,73205.0,DMK,True
194,MADURAI WEST,Tamilaga Vettri Kazhagam,Solo,TVK,Madurai West,ADMK,83883.0,AIADMK,True
195,THIRUPARANKUNDRAM,Tamilaga Vettri Kazhagam,Solo,TVK,Thiruparankundram,ADMK,103683.0,AIADMK,True
196,THIRUMANGALAM,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Thirumangalam,ADMK,100338.0,AIADMK,True
197,USILAMPATTI,Tamilaga Vettri Kazhagam,Solo,TVK,Usilampatti,ADMK,71255.0,AIADMK,True
198,ANDIPATTI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Andipatti,DMK,93541.0,DMK,False
199,PERIYAKULAM,Tamilaga Vettri Kazhagam,Solo,TVK,Periyakulam,DMK,92251.0,DMK,True
200,BODINAYAKANUR,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Bodinayakanur,ADMK,100050.0,AIADMK,True
201,CUMBUM,Tamilaga Vettri Kazhagam,Solo,TVK,Cumbum,DMK,104800.0,DMK,True
202,RAJAPALAYAM,Tamilaga Vettri Kazhagam,Solo,TVK,Rajapalayam,DMK,74158.0,DMK,True
203,SRIVILLIPUTHUR,Tamilaga Vettri Kazhagam,Solo,TVK,Srivilliputhur,ADMK,70475.0,AIADMK,True
204,SATTUR,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Sattur,DMK,74174.0,DMK,False
205,SIVAKASI,Tamilaga Vettri Kazhagam,Solo,TVK,Sivakasi,INC,78947.0,INC,True
206,VIRUDHUNAGAR,Tamilaga Vettri Kazhagam,Solo,TVK,Virudhunagar,DMK,73297.0,DMK,True
207,ARUPPUKKOTTAI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Aruppukkottai,DMK,91040.0,DMK,False
208,TIRUCHULI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Tiruchuli,DMK,102225.0,DMK,False
209,PARAMAKUDI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Paramakudi,DMK,84864.0,DMK,False
210,TIRUVADANAI,Tamilaga Vettri Kazhagam,Solo,TVK,Tiruvadanai,INC,79364.0,INC,True
211,RAMANATHAPURAM,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Ramanathapuram,DMK,111075.0,DMK,False
212,MUDHUKULATHUR,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Mudhukulathur,DMK,101901.0,DMK,False
213,VILATHIKULAM,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Vilathikulam,DMK,90348.0,DMK,False
214,THOOTHUKKUDI,Tamilaga Vettri Kazhagam,Solo,TVK,Thoothukkudi,DMK,92314.0,DMK,True
215,TIRUCHENDUR,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Tiruchendur,DMK,88274.0,DMK,False
216,SRIVAIKUNTAM,Tamilaga Vettri Kazhagam,Solo,TVK,Srivaikuntam,INC,76843.0,INC,True
217,OTTAPIDARAM,Tamilaga Vettri Kazhagam,Solo,TVK,Ottapidaram,DMK,73110.0,DMK,True
218,KOVILPATTI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Kovilpatti,ADMK,68556.0,AIADMK,True
219,SANKARANKOVIL,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Sankarankovil,DMK,71347.0,DMK,True
220,VASUDEVANALLUR,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Vasudevanallur,DMK,68730.0,DMK,False
221,KADAYANALLUR,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Kadayanallur,ADMK,88474.0,AIADMK,True
222,TENKASI,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Tenkasi,INC,89315.0,INC,True
